name,color,sex,country,grumpy,fearful_of_people,playful,friendly_to_people,clumsy,greedy,owner_phone,birthday
Latte,grey and brown,Male,Australia,2,2,5,7,1,2,651-6043112,02/25/2018
Othello,butterscotch,Female,Thailand,2,1,7,6,4,2,651-6202670,07/11/2005
Hershey,tabby,Male,Peru,1,1,6,7,3,3,651-4402975,06/12/2015
Aboulomri,brown,Female,UK,7,1,2,1,2,7,651-3625796,12/07/2017
Scratches,white,Male,Canada,3,1,5,7,5,7,651-1900633,05/03/2009
Zonker,white,Female,China,3,5,5,4,2,3,651-7574218,05/13/2016
Ovidius,brown,Male,Spain,3,2,5,6,2,6,651-5520876,03/30/2011
Delia,tabby,Female,Canada,5,4,5,5,2,6,651-8149009,10/22/2018
Hotdog,salt and pepper,Female,Spain,3,4,6,5,3,3,651-5049622,07/09/2012
Ludwig,white,Male,Peru,1,3,6,5,7,6,651-2695228,02/18/2006
Marzipan,striped,Female,Germany,2,1,7,7,1,4,651-1510207,11/04/2018
Janus,tabby,Female,Germany,4,1,2,7,3,5,651-6348637,11/07/2013
Peter,striped,Female,China,2,2,7,5,1,3,651-2330786,05/05/2018
Berenice,grey and black,Male,France,3,3,5,5,3,3,651-7873208,04/29/2015
Herbal,orange,Male,Germany,3,5,5,4,3,5,651-2698415,08/12/2002
Julep,grey and brown,Male,Australia,5,5,5,5,6,5,651-5851242,04/21/2000
Harry,grey and brown,Male,Spain,5,2,3,6,3,1,651-6248543,11/13/2011
Bete Noir,grey and brown,Female,China,6,2,6,6,1,7,651-8028980,01/26/2007
Beastie,peaches and cream,Male,Thailand,1,2,5,6,5,7,651-8286024,10/17/2007
Hayley,grey and brown,Female,USA,1,6,7,5,1,2,651-3718419,02/07/2020
Peace,salt and pepper,Female,USA,3,3,3,5,2,3,651-6225956,02/10/2014
Aboulomri,tabby,Unsure,France,6,5,3,5,4,7,651-2475114,02/25/2019
Fuzzinator,peaches and cream,Male,New Zealand,1,2,6,6,6,3,651-4805598,07/06/2015
Wuffy,striped,Male,New Zealand,6,4,5,5,5,7,651-4896316,03/18/2016
Mr. President,peaches and cream,Male,USA,4,1,5,6,7,5,651-2769319,07/14/2017
Desiree,black,Male,Thailand,1,1,7,7,4,5,651-5968256,02/04/2012
Club,peaches and cream,Male,Australia,3,2,5,5,3,7,651-8782575,06/22/2016
Zoloft,butterscotch,Female,UK,1,2,7,7,3,7,651-7615232,10/10/2000
Reagan,salt and pepper,Female,Canada,2,3,5,7,1,1,651-1933566,01/07/2007
Coquette,orange,Male,China,5,1,5,7,7,7,651-5658901,12/24/2008
Jaz,grey and brown,Female,Canada,3,3,5,6,2,4,651-4096348,02/10/2008
Triton,grey and brown,"",China,3,3,3,6,2,4,651-6129527,12/07/2011
Virgil,grey,Male,France,2,2,6,7,2,2,651-7769011,05/09/2000
Dinky,salt and pepper,Male,Peru,1,1,7,7,4,5,651-2816505,12/07/2016
Cat Sajak,white,Male,Thailand,2,6,5,5,2,5,651-7132077,10/25/2018
Angostura,peaches and cream,Female,USA,6,1,3,7,5,4,651-5040063,04/17/2015
Crash,orange,Female,China,3,4,4,3,1,4,651-7150474,05/18/2014
Butterscotch,brown,Male,Thailand,1,1,7,7,1,2,651-4485720,01/31/2015
Piggy,grey,Female,Thailand,2,1,6,7,5,2,651-4740711,02/03/2012
Perfect,grey,Female,Germany,1,1,6,7,6,6,651-3545016,08/27/2016
Jacques Pierre,grey and brown,Female,Peru,2,2,6,6,5,7,651-7402810,01/20/2003
Angie,grey,Female,Canada,1,1,5,6,2,3,651-8789374,07/04/2004
Robert,grey and black,Male,UK,5,3,7,5,6,5,651-1665638,11/10/2014
Chip,salt and pepper,Male,Thailand,1,1,5,7,1,5,651-6405091,03/10/2015
Arrot,grey and black,Female,Peru,5,4,7,7,2,1,651-4462739,10/30/2014
Dusty,grey and black,Male,France,1,1,7,7,5,5,651-6623459,06/20/2014
Macduff,peaches and cream,Male,Thailand,1,1,7,7,5,5,651-8436648,09/07/2016
Camilla,brown,Female,UK,1,7,7,4,5,6,651-5094525,06/05/2011
Eartha,white,Female,New Zealand,4,1,3,5,1,1,651-8937943,09/09/2003
Snip,black,Female,France,2,4,5,4,3,5,651-4649946,05/24/2018
Amaro,tabby,Female,USA,4,3,4,5,2,3,651-2004859,06/06/2010
Harry,butterscotch,Male,Peru,2,3,7,6,1,7,651-5163590,04/19/2015
Gaia,tabby,Female,Australia,1,2,7,6,1,2,651-2553243,09/08/2016
Janis,butterscotch,Male,Australia,2,1,5,4,1,1,651-7627045,04/19/2000
Carly,striped,Male,Canada,2,6,6,5,1,5,651-1793204,01/30/2018
Jackson,striped,Female,Australia,1,1,7,6,3,3,651-8716308,08/08/2017
Snip,brown,Male,France,6,5,3,1,1,7,651-6532578,07/28/2013
Beastie,peaches and cream,Male,USA,1,1,6,2,1,7,651-4022445,03/26/2017
Club,salt and pepper,Male,Spain,5,5,3,5,5,6,651-6272974,01/09/2010
Budweiser,white,Female,Thailand,1,3,7,5,1,2,651-8721776,01/12/2013
Brett,striped,Male,Canada,4,5,4,6,4,2,651-4080040,03/13/2019
Ears,striped,Female,Canada,2,7,6,2,2,4,651-5170362,04/23/2016
Zuleika,striped,Female,Canada,3,2,5,5,1,5,651-3878981,06/15/2015
Ali McClaw,grey,Female,UK,1,1,7,7,1,2,651-5293232,06/06/2003
Caboodle,grey and black,Male,USA,1,3,7,6,3,2,651-5784116,04/16/2015
Peregrin,white,Male,Canada,2,1,7,6,1,4,651-2823939,10/04/2001
Elvira,tabby,Male,Germany,3,3,5,6,7,4,651-7409064,08/03/2013
Tatum,grey,Female,Thailand,3,2,5,6,5,3,651-2697845,09/02/2017
Feline Dion,striped,Female,Spain,5,3,6,5,3,4,651-2282617,03/26/2020
Monarch,grey and black,Female,New Zealand,5,1,7,7,4,5,651-5538114,10/17/2004
Smidget,orange,Female,Peru,1,4,7,4,1,1,651-8679887,09/24/2002
Tiggy,striped,"",UK,6,2,5,4,1,5,651-8748726,07/19/2017
Dale,tabby,Female,USA,1,1,6,7,3,6,651-7557413,07/07/2013
Angostura,peaches and cream,Female,Canada,1,6,6,5,6,1,651-8349471,01/13/2007
Gigabyte,brown,Male,Germany,6,1,5,5,1,2,651-6246692,06/29/2010
Tess,butterscotch,Female,Germany,6,1,6,7,1,6,651-7290963,07/22/2015
Gidget,grey and black,Male,USA,1,2,7,7,6,3,651-8004817,02/01/2014
Jade,salt and pepper,Male,UK,4,5,3,2,2,3,651-8872285,04/19/2018
Bagel,orange,Male,USA,1,1,7,7,3,3,651-6479337,07/12/2002
Egbert,black,Female,USA,4,4,5,4,1,3,651-1589813,01/24/2004
Strudel,grey,Male,New Zealand,2,6,5,5,2,5,651-7867950,07/14/2002
Cougar,butterscotch,Male,China,2,5,3,3,7,4,651-8179727,03/26/2013
Linguini,salt and pepper,Male,France,1,3,5,5,3,3,651-2473458,08/19/2018
